index,mfg,racket,headsize,length,weight,balance,swingweight,flex,acor,sweet,twistweight,vibration,pcode,rccode,units,changed,current
0,Adidas,Barricade,95,27.0,317,33.4,321,61,40,15,13.9,138,ABR,RCADIDAS,,racquetA,
1,Adidas,Feather,105,27.2,270,35.5,303,59,38,13,13.6,134,AFR,RCADIDAS,,racquetA,
2,Adidas,Barricade Tour,95,27.0,346,31.8,335,64,41,17,13.5,145,ABTR,RCADIDAS,,racquetA,
3,Adidas,Response,100,27.0,294,34.1,316,64,40,15,12.0,145,ARR,RCADIDAS,,racquetA,
4,Asics,Asics 109,109,27.25,292,34.9,313,76,40,16,15.3,180,A109,RCSP,,racquetA,
5,Asics,Asics 116,116,27.25,269,35.2,288,74,37,12,15.3,182,A116,RCSP,,racquetA,
6,Asics,BZ 100,100,27.0,326,33.0,303,75,39,14,15.5,176,ABZ100,RCSP,,racquetA,
7,Asics,Asics 125,125,27.5,272,36.1,308,75,40,17,17.7,188,A125,RCSP,,racquetA,
8,Avery,M5,110,27.0,351,31.1,326,60,40,16,16.6,136,AM5OS,RCAVERY,,racquetA,
9,Avery,M3 Control,95,27.0,342,30.5,300,60,37,11,11.8,136,AM3CON,RCAVERY,,racquetA,
10,Avery,M3 Power,95,27.0,352,32.1,327,65,41,16,12.3,148,AM3POW,RCAVERY,,racquetA,
11,Babolat,Aero 112,112,27.5,286,36.5,328,64,40,16,17.2,145,BA112,RCBAB,,racquetA,
12,Babolat,Aero Storm Tour GT,98,27.0,333,32.5,324,69,40,15,12.2,153,BASTGT,RCBAB,,racquetA,
13,Babolat,Aero Tour MP,97,27.0,328,32.7,313,73,39,14,14.0,166,BAT,RCBAB,,racquetA,
14,Babolat,Aero Storm GT,98,27.0,320,33.5,332,71,41,16,12.3,155,BASGT,RCBAB,,racquetA,
15,Babolat,AeroPro Drive GT Plus,100,27.25,316,33.4,340,70,41,16,15.1,155,APDGTP,RCBAB,,racquetA,
16,Babolat,AeroPro Lite/2013,100,27.0,279,35.0,299,71,39,14,14.1,170,APL13,RCBABOLAT,,racquetA,
17,Babolat,Pure Aero (2019),100,27.0,318,33.0,324,67,41,17,15.4,143,BPAR,RCBABOLAT,,racquetA,x
18,Babolat,Pure Aero Tour (2019),100,27.0,335,32.3,327,68,42,17,15.1,155,BPATRR,RCBABOLAT,,racquetA,x
19,Babolat,Pure Aero 2023,100,27.0,318,33.0,322,65,41,17,14.6,141,BARO,RCBABOLAT,,racquetA,x
20,Babolat,Aero Blast,112,27.5,298,37.1,350,61,43,20,17.4,138,BABR,RCBAB,,racquetA,
21,Babolat,Pure Drive Lite,100,27.0,293,33.4,297,68,38,13,13.4,157,BPDL11,RCBAB,,racquetA,
22,Babolat,Pure Aero Team 2023,100,27.0,301,32.6,302,67,39,14,14.3,158,BAROTM,RCBABOLAT,,racquetA,x
23,Babolat,Pure Drive VS,98,27.0,318,33.0,317,68,41,16,14.2,157,PDVS,RCBABOLAT,,racquetA,x
24,Babolat,Pure Drive 107 (2012),107,27.2,294,33.8,298,69,38,13,13.9,161,10711,RCBAB,,racquetA,
25,Babolat,Pure Control 95+,95,27.5,341,31.8,320,62,41,16,12.3,137,PC95P,RCBAB,,racquetA,
26,Babolat,Pure Aero Lite (2019),100,27.0,286,34.3,311,68,40,16,14.8,148,BPARL,RCBABOLAT,,racquetA,x
27,Babolat,Pure Drive Lite Wimbledon,100,27.0,286,34.1,300,69,39,14,13.8,166,PDWIML,RCBABOLAT,,racquetA,x
28,Babolat,Pure Drive Roddick Plus,100,27.5,329,32.7,326,70,40,16,13.2,159,BPDRP,RCBAB,,racquetA,
29,Babolat,Pure Aero Plus (2019),100,27.5,320,33.0,330,68,42,17,14.3,156,BPAPR,RCBABOLAT,,racquetA,x
30,Babolat,Pure Drive 107 GT 2009,107,27.2,298,33.7,318,67,39,14,13.5,163,PD1079,RCBAB,,racquetA,
31,Babolat,Pure Drive Wimbledon,100,27.0,318,33.0,324,71,41,17,14.3,161,PDWIM,RCBABOLAT,,racquetA,x
32,Babolat,Pure Drive 110 (2018),110,27.6,272,34.0,305,69,39,15,14.9,164,BPD110,RCBABOLAT,,racquetA,x
33,Babolat,Pure Drive 110 2021,110,27.6,269,34.0,298,70,38,13,14.3,154,BRPD11,RCBABOLAT,,racquetA,x
34,Babolat,Pure Aero Lite 2023,100,27.0,283,34.0,304,65,39,0,14.1,153,BAROL,RCBABOLAT,,racquetA,x
35,Babolat,Pure Drive 107 (2018),107,27.2,303,33.0,310,69,40,16,15.9,155,BPD107,RCBABOLAT,,racquetA,x
36,Babolat,Pure Drive Plus 2021,100,27.5,318,33.0,324,69,41,16,14.2,154,BRPDP,RCBABOLAT,,racquetA,x
37,Babolat,Pure Drive (2021),100,27.0,318,33.0,320,71,41,17,15.6,161,BRPDR,RCBABOLAT,,racquetA,x
38,Babolat,Pure Drive Plus (2018),100,27.5,318,33.0,325,70,42,16,13.7,162,PDP,RCBABOLAT,,racquetA,x
39,Babolat,AeroPro Team GT/2013,100,27.0,288,34.0,288,72,37,12,13.9,174,APT13,RCBABOLAT,,racquetA,
40,Babolat,AeroPro Drive Plus,100,27.5,326,32.5,327,67,41,16,12.2,152,BAPDP,RCBAB,,racquetA,
41,Babolat,Aero Storm,98,27.0,332,31.1,324,65,40,15,12.9,148,BAS,RCBAB,,racquetA,
42,Babolat,Play Pure Drive,100,27.0,318,33.0,315,74,40,16,15.2,167,BPLYPD,RCBAB,,racquetA,
43,Babolat,AeroPro Lite GT,100,27.0,277,35.6,309,72,39,13,13.6,170,BAPLGT,RCBAB,,racquetA,
44,Babolat,AeroPro Drive GT Plus / 2013,100,27.5,321,33.5,330,72,42,17,14.2,160,APDP13,RCBABOLAT,,racquetA,
45,Babolat,Pure Aero VS,98,27.0,320,32.4,321,67,41,16,14.6,154,BPAVSR,RCBABOLAT,,racquetA,x
46,Babolat,AeroPro Control Plus,100,27.5,334,32.4,335,70,41,17,12.9,159,BAPCP,RCBAB,,racquetA,
47,Babolat,Aero Tour OS,107,27.3,314,32.7,313,70,39,15,18.3,159,BATOS,RCBAB,,racquetA,
48,Babolat,Drive Z 118,118,27.5,280,36.5,310,68,39,16,16.0,155,DZ118,RCBAB,,racquetA,
49,Babolat,Pure Control 95,95,27.0,340,31.5,304,56,39,13,12.3,130,PC95,RCBAB,,racquetA,
50,Babolat,Drive Z 110 2009,110,27.5,276,35.5,305,62,37,12,14.7,157,Z1109,RCBAB,,racquetA,
51,Babolat,Pure Drive 2015,100,27.0,322,32.4,319,72,41,16,14.9,163,BPD,RCBAB,,racquetA,x
52,Babolat,AeroPro Team GT,100,27.0,290,33.5,299,71,37,12,12.0,167,BAPTGT,RCBAB,,racquetA,
53,Babolat,Pure Drive Lite 2021,100,27.0,283,34.0,299,69,38,14,14.2,160,BRPDL,RCBABOLAT,,racquetA,x
54,Babolat,Pure Drive Team 2021,100,27.0,301,32.6,313,69,40,16,14.4,159,BRPTE,RCBABOLAT,,racquetA,x
55,Babolat,Pure Drive Roddick GT,100,27.0,331,32.5,335,73,40,16,14.9,170,BPDRGT,RCBAB,,racquetA,
56,Babolat,Pure Drive Roddick (2012),100,27.0,336,32.5,328,72,42,17,15.2,163,BPDR11,RCBAB,,racquetA,
57,Babolat,Pure Aero Lite 2023,100,27.0,283,34.0,304,65,39,0,14.1,153,BAROL,RCBABOLAT,,racquetA,x
58,Babolat,Pure Drive 107,107,27.0,297,34.5,312,70,40,16,14.9,164,PD107,RCBAB,,racquetA,x
59,Babolat,Pure Aero Lite,100,27.0,289,34.4,308,70,40,15,14.3,158,BPAL,RCBABOLAT,,racquetA,x
60,Babolat,Pure Aero Tour,100,27.0,341,32.6,332,68,42,18,15.6,147,BPATR,RCBABOLAT,,racquetA,x
61,Babolat,Pure Drive GT Plus,100,27.5,324,33.0,345,73,42,17,13.1,164,BPDGTP,RCBAB,,racquetA,
62,Babolat,Pure Drive Tour Plus,100,27.5,332,33.1,336,72,43,18,14.4,162,PDTRP,RCBAB,,racquetA,x
63,Babolat,Pure Drive Plus,100,27.5,317,33.1,317,72,41,16,13.9,163,BPDP12,RCBAB,,racquetA,
64,Babolat,Pure Drive Roddick,100,27.0,332,32.1,329,71,40,15,14.9,162,BPDR,RCBAB,,racquetA,
65,Babolat,Pure Drive Tour 2021,100,27.0,335,32.5,326,70,42,17,15.5,156,BRPDT,RCBABOLAT,,racquetA,x
66,Babolat,Pure Drive Team Plus,104,27.5,318,32.7,322,67,40,16,12.7,152,PBDP,RCBAB,,racquetA,
67,Babolat,Pure Drive Lite (2018),100,27.0,286,34.1,300,69,39,14,13.8,166,BPDL,RCBABOLAT,,racquetA,x
68,Babolat,Pure Aero Plus 2023,100,27.5,320,33.0,334,65,42,17,14.7,143,BAROPL,RCBABOLAT,,racquetA,x
69,Babolat,Pure Aero VS Tour,98,27.0,348,32.3,332,70,42,17,14.8,149,PAVST,RCBABOLAT,,racquetA,x
70,Babolat,AeroPro Drive 2013,100,27.0,316,32.7,306,69,39,14,14.1,155,APD13,RCBABOLAT,,racquetA,
71,Babolat,Pure Drive Tour (2018),100,27.0,332,32.5,324,71,42,17,14.7,164,BPDT,RCBABOLAT,,racquetA,x
72,Babolat,Pure Drive Team,100,27.0,306,33.6,313,69,40,16,14.9,157,PDT,RCBAB,,racquetA,x
